Unnamed: 0,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
1953,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.04","$60,072",Audemars Piguet,Royal Oak Selfwinding,15551ST.ZZ.1356ST.04,unknown,unknown,unknown,2023,New,Men's watch/Unisex,37 mm,unknown
1954,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$91,231",Audemars Piguet,Royal Oak Chronograph,26240ST.OO.1320ST.08,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1955,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.06","$51,370",Audemars Piguet,Royal Oak Selfwinding,15551ST.ZZ.1356ST.06,unknown,unknown,unknown,2023,New,Men's watch/Unisex,37 mm,unknown
1956,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.05","$53,896",Audemars Piguet,Royal Oak Selfwinding,15551ST.ZZ.1356ST.05,unknown,unknown,unknown,2023,New,Men's watch/Unisex,37 mm,unknown
1957,"Audemars Piguet Royal Oak Selfwinding
15551BC.ZZ.1356BC.01","$162,812",Audemars Piguet,Royal Oak Selfwinding,15551BC.ZZ.1356BC.01,unknown,unknown,unknown,2023,New,Men's watch/Unisex,37 mm,unknown
1958,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$87,020",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D315CR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1959,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$60,353",Audemars Piguet,Royal Oak Offshore Chronograph,26420RO.OO.A002CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,43 mm,unknown
1960,"Audemars Piguet Royal Oak Jumbo
Extra Thin","$150,180",Audemars Piguet,Royal Oak Jumbo,16202OR.OO.1240OR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
1961,"Audemars Piguet Royal Oak Selfwinding
15551BC.ZZ.1356BC.02","$218,954",Audemars Piguet,Royal Oak Selfwinding,unknown,unknown,unknown,unknown,2023,New,Men's watch/Unisex,37 mm,unknown
1962,"Audemars Piguet Royal Oak Selfwinding
15551OR.ZZ.1356OR.06","$94,038",Audemars Piguet,Royal Oak Selfwinding,15551OR.ZZ.1356OR.06,unknown,unknown,unknown,Unknown,New,Women's watch,37 mm,unknown
1963,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$125,477",Audemars Piguet,Royal Oak Chronograph,26239OR.OO.1220OR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1964,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$111,161",Audemars Piguet,Royal Oak Chronograph,26239OR.OO.1220OR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1965,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$78,599",Audemars Piguet,Royal Oak Chronograph,26331OR.OO.D315CR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1966,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
15407OR.OO.1220OR.01","$189,479",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15407OR.OO.1220OR.01,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,41 mm,unknown
1967,"Audemars Piguet Royal Oak Perpetual Calendar
26574BA.OO.1220BA.01","$179,654",Audemars Piguet,Royal Oak Perpetual Calendar,26574BA.OO.1220BA.01,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,41 mm,unknown
1968,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH “50TH ANNIVERSARY”","$87,020",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D315CR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1969,"Audemars Piguet Royal Oak Concept
FLYING TOURBILLON GMT","$272,289",Audemars Piguet,Royal Oak Concept,26589IO.OO.D056CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,44 mm,unknown
1970,"Audemars Piguet Royal Oak Selfwinding
77450ST.OO.1361ST.02","$31,720",Audemars Piguet,Royal Oak Selfwinding,77450ST.OO.1361ST.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,34 mm,unknown
1971,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH “50TH ANNIVERSARY”","$117,898",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.1320OR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1972,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH “50TH ANNIVERSARY”","$76,915",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D002CR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1973,"Audemars Piguet Royal Oak Concept
Black Panther Flying Tourbillon Royal Oak Concept","$384,573",Audemars Piguet,Royal Oak Concept,26620IO.OO.D077CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,42 mm,unknown
1974,"Audemars Piguet Royal Oak Selfwinding
77451ST.ZZ.1361ST.03","$58,107",Audemars Piguet,Royal Oak Selfwinding,77451ST.ZZ.1361ST.03,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
1975,"Audemars Piguet Royal Oak Selfwinding
77350SR.OO.1261SR.01","$34,527",Audemars Piguet,Royal Oak Selfwinding,77350SR.OO.1261SR.01,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
1976,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$162,812",Audemars Piguet,Royal Oak Jumbo,15202BA.OO.1240BA.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
1977,"Audemars Piguet Royal Oak Jumbo
“jumbo” Extra-thin","$320,009",Audemars Piguet,Royal Oak Jumbo,15202PT.OO.1240PT.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
1978,"Audemars Piguet Royal Oak Selfwinding
77451OR.ZZ.1361OR.04","$72,985",Audemars Piguet,Royal Oak Selfwinding,77451OR.ZZ.1361OR.04,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
1979,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH ""50TH ANNIVERSARY""","$154,390",Audemars Piguet,Royal Oak Chronograph,26240CE.OO.1225CE.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1980,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$103,863",Audemars Piguet,Royal Oak Chronograph,26315OR.ZZ.1256OR.01,unknown,unknown,unknown,Unknown,New,Women's watch,38 mm,unknown
1981,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$50,528",Audemars Piguet,Royal Oak Selfwinding,15510ST.OO.1320ST.05,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1982,"Audemars Piguet Royal Oak Selfwinding
77350CE.OO.1266CE.02.A","$113,968",Audemars Piguet,Royal Oak Selfwinding,77350CE.OO.1266CE.02.A,unknown,unknown,unknown,Unknown,New,Women's watch,334 mm,unknown
1983,"Audemars Piguet Millenary Ladies
77247OR.ZZ.A812CR.01","$23,860",Audemars Piguet,Millenary Ladies,77247OR.ZZ.A812CR.01,unknown,unknown,unknown,Unknown,New,Women's watch,39.5 mm,unknown
1984,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH “50TH ANNIVERSARY”","$57,546",Audemars Piguet,Royal Oak Chronograph,26240ST.OO.1320ST.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1985,"Audemars Piguet Royal Oak Concept
SPLIT SECOND CHRONOGRAPH GMT LARGE DATE","$247,025",Audemars Piguet,Royal Oak Concept,unknown,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,43 mm,unknown
1986,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$39,299",Audemars Piguet,Royal Oak Selfwinding,77450ST.OO.1361ST.01,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
1987,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$89,546",Audemars Piguet,Royal Oak Selfwinding,15551OR.ZZ.1356OR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,37 mm,unknown
1988,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$44,914",Audemars Piguet,Royal Oak Selfwinding,15550ST.OO.1356ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,37 mm,unknown
1989,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$63,160",Audemars Piguet,Royal Oak Selfwinding,15551ST.ZZ.1356ST.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,37 mm,unknown
1990,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$91,231",Audemars Piguet,Royal Oak Selfwinding,15551OR.ZZ.1356OR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,37 mm,unknown
1991,"Audemars Piguet Royal Oak Selfwinding
FROSTED GOLD SELFWINDING","$96,284",Audemars Piguet,Royal Oak Selfwinding,77353BC.GG.1263BC.01,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
1992,"Audemars Piguet Royal Oak Offshore Chronograph
Selfwinding Chronograph","$56,142",Audemars Piguet,Royal Oak Offshore Chronograph,26405CE.OO.A056CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,44 mm,unknown
1993,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$94,038",Audemars Piguet,Royal Oak Chronograph,26715OR.ZZ.1356OR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,38 mm,unknown
1994,"Audemars Piguet Royal Oak Tourbillon
SELFWINDING FLYING TOURBILLON ""50TH ANNIVERSARY""","$307,377",Audemars Piguet,Royal Oak Tourbillon,26730ST.OO.1320ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1995,"Audemars Piguet Royal Oak Tourbillon
SELFWINDING FLYING TOURBILLON ""50TH ANNIVERSARY""","$407,029",Audemars Piguet,Royal Oak Tourbillon,26730OR.OO.1320OR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1996,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH ""50TH ANNIVERSARY""","$148,776",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.1320OR.04,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1997,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH ""50TH ANNIVERSARY""","$116,495",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D404CR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
1998,"Audemars Piguet Royal Oak Selfwinding
77351OR.ZZ.1261OR.01","$79,441",Audemars Piguet,Royal Oak Selfwinding,77351OR.ZZ.1261OR.01,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
1999,"Audemars Piguet Royal Oak Tourbillon
SELFWINDING FLYING TOURBILLON ""50TH ANNIVERSARY""","$244,218",Audemars Piguet,Royal Oak Tourbillon,26730TI.OO.1320TI.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2000,"Audemars Piguet Royal Oak Perpetual Calendar
26574OR.OO.1220OR.03","$213,340",Audemars Piguet,Royal Oak Perpetual Calendar,26574OR.OO.1220OR.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2001,"Audemars Piguet Royal Oak Jumbo
15202BC.OO.1240BC.01","$182,461",Audemars Piguet,Royal Oak Jumbo,15202BC.OO.1240BC.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2002,"Audemars Piguet Royal Oak Selfwinding
77451OR.ZZ.1361OR.03","$68,774",Audemars Piguet,Royal Oak Selfwinding,77451OR.ZZ.1361OR.03,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
2003,"Audemars Piguet Royal Oak Selfwinding
77451BC.ZZ.1261BC.01","$182,461",Audemars Piguet,Royal Oak Selfwinding,unknown,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
2004,"Audemars Piguet Royal Oak Jumbo
""JUMBO"" EXTRA-THIN OPENWORKED ""50TH ANNIVERSARY""","$404,222",Audemars Piguet,Royal Oak Jumbo,16204ST.OO.1240ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2005,"Audemars Piguet Royal Oak Selfwinding
77450SR.OO.1361SR.02","$39,019",Audemars Piguet,Royal Oak Selfwinding,77450SR.OO.1361SR.02,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
2006,"Audemars Piguet Royal Oak Jumbo
""JUMBO"" EXTRA-THIN ""50TH ANNIVERSARY""","$200,708",Audemars Piguet,Royal Oak Jumbo,16202BA.OO.1240BA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2007,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
41mm","$286,324",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15416CE.OO.1225CE.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2008,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$56,703",Audemars Piguet,Royal Oak Chronograph,26715ST.OO.1356ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,38 mm,unknown
2009,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$53,335",Audemars Piguet,Royal Oak Chronograph,26715ST.OO.1356ST.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,38 mm,unknown
2010,"Audemars Piguet Royal Oak Jumbo
""JUMBO"" EXTRA-THIN","$87,020",Audemars Piguet,Royal Oak Jumbo,16202ST.OO.1240ST.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2011,"Audemars Piguet Royal Oak Perpetual Calendar
26574ST.OO.1220ST.03","$164,215",Audemars Piguet,Royal Oak Perpetual Calendar,26574ST.OO.1220ST.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2012,"Audemars Piguet Royal Oak Perpetual Calendar
26574TI.OO.1220TI.01","$242,253",Audemars Piguet,Royal Oak Perpetual Calendar,26574TI.OO.1220TI.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2013,"Audemars Piguet Royal Oak Lady
67651SR.ZZ.1261SR.01","$36,492",Audemars Piguet,Royal Oak Lady,67651SR.ZZ.1261SR.01,unknown,unknown,unknown,Unknown,New,Women's watch,33 mm,unknown
2014,"Audemars Piguet Royal Oak Lady
SELFWINDING","$113,126",Audemars Piguet,Royal Oak Lady,15452BC.ZY.D600CR.01,unknown,unknown,unknown,Unknown,New,Women's watch,37 mm,unknown
2015,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$442,118",Audemars Piguet,Royal Oak Jumbo,unknown,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2016,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH “50TH ANNIVERSARY”","$80,002",Audemars Piguet,Royal Oak Chronograph,26240ST.OO.1320ST.04,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2017,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$106,389",Audemars Piguet,Royal Oak Selfwinding,15510OR.OO.1320OR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2018,"Audemars Piguet Royal Oak
15510OR.OO.D315CR.01","$63,160",Audemars Piguet,Royal Oak,15510OR.OO.D315CR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2019,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$49,124",Audemars Piguet,Royal Oak Selfwinding,15510ST.OO.1320ST.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2020,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$50,528",Audemars Piguet,Royal Oak Selfwinding,15510ST.OO.1320ST.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2021,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$46,598",Audemars Piguet,Royal Oak Offshore Chronograph,26420SO.OO.A600CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,43 mm,unknown
2022,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$40,984",Audemars Piguet,Royal Oak Offshore Chronograph,26420TI.OO.A027CA.01,unknown,unknown,unknown,2023,New,Men's watch/Unisex,43 mm,unknown
2023,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$48,001",Audemars Piguet,Royal Oak Offshore Chronograph,26420IO.OO.A009CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,43 mm,unknown
2024,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$80,844",Audemars Piguet,Royal Oak Offshore Chronograph,26420CE.OO.A127CR.01,unknown,unknown,unknown,2023,New,Men's watch/Unisex,43 mm,unknown
2025,"Audemars Piguet Royal Oak Selfwinding
15510ST.OO.1320ST.10","$46,317",Audemars Piguet,Royal Oak Selfwinding,15510ST.OO.1320ST.10,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2026,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$53,054",Audemars Piguet,Royal Oak Offshore Chronograph,26238ST.OO.A340CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,42 mm,unknown
2027,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
FROSTED GOLD DOUBLE BALANCE WHEEL OPENWORKED","$262,464",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15468BA.YG.1259BA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,37 mm,unknown
2028,"Audemars Piguet Royal Oak Offshore Diver
15720ST.OO.A052CA.01","$33,685",Audemars Piguet,Royal Oak Offshore Diver,15720ST.OO.A052CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,42 mm,unknown
2029,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH","$57,546",Audemars Piguet,Royal Oak Offshore Chronograph,26238ST.OO.2000ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,42 mm,unknown
2030,"Audemars Piguet Royal Oak Offshore
SELFWINDING - MUSIC EDITION","$41,545",Audemars Piguet,Royal Oak Offshore,77600TI.OO.A343CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,37 mm,unknown
2031,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$50,528",Audemars Piguet,Royal Oak Chronograph,26240ST.OO.1320ST.07,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2032,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH ""50TH ANNIVERSARY""","$77,195",Audemars Piguet,Royal Oak Chronograph,26240ST.OO.1320ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2033,"Audemars Piguet Royal Oak Selfwinding
15510OR.OO.1320OR.04","$106,389",Audemars Piguet,Royal Oak Selfwinding,15510OR.OO.1320OR.04,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2034,"Audemars Piguet Royal Oak Offshore
SELFWINDING - MUSIC EDITION","$364,923",Audemars Piguet,Royal Oak Offshore,15601BC.YY.D343CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,43 mm,unknown
2035,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$95,441",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D404CR.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2036,"Audemars Piguet Royal Oak Concept
FLYING TOURBILLON GMT","$193,690",Audemars Piguet,Royal Oak Concept,26589IO.OO.D002CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,44 mm,unknown
2037,"Audemars Piguet Royal Oak Lady
Frosted Gold Quartz","$74,388",Audemars Piguet,Royal Oak Lady,67653BC.GG.1263BC.02,unknown,unknown,unknown,Unknown,New,Women's watch,33 mm,unknown
2038,"Audemars Piguet Royal Oak Selfwinding
15510OR.OO.1320OR.03","$110,319",Audemars Piguet,Royal Oak Selfwinding,15510OR.OO.1320OR.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2039,"Audemars Piguet Royal Oak Jumbo
""JUMBO"" EXTRA-THIN","$193,690",Audemars Piguet,Royal Oak Jumbo,16202BA.OO.1240BA.02,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2040,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$51,931",Audemars Piguet,Royal Oak Selfwinding,77451ST.ZZ.1361ST.02,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
2041,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$68,774",Audemars Piguet,Royal Oak Selfwinding,77451OR.ZZ.1361OR.01,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
2042,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$116,495",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.1320OR.06,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2043,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$106,670",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.1320OR.07,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2044,"Audemars Piguet Royal Oak
15413BC.YY.1220BC.01","$300,360",Audemars Piguet,Royal Oak,15413BC.YY.1220BC.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2045,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$112,284",Audemars Piguet,Royal Oak Jumbo,15202OR.OO.1240OR.01,unknown,unknown,unknown,2020,Good,Men's watch/Unisex,39 mm,unknown
2046,"Audemars Piguet Royal Oak Tourbillon
EXTRA-THIN OPENWORKED","$364,923",Audemars Piguet,Royal Oak Tourbillon,26518ST.OO.1220ST.01,unknown,unknown,unknown,2018,Good,Men's watch/Unisex,41 mm,unknown
2047,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$49,124",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.01,unknown,unknown,unknown,2017,Good,Men's watch/Unisex,41 mm,unknown
2048,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$129,127",Audemars Piguet,Royal Oak Jumbo,15202BA.OO.1240BA.02,unknown,unknown,unknown,2018,Good,Men's watch/Unisex,39 mm,unknown
2049,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$98,248",Audemars Piguet,Royal Oak Jumbo,15202OR.OO.1240OR.01,unknown,unknown,unknown,Unknown,Good,Men's watch/Unisex,39 mm,unknown
2050,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
Frosted Gold Double Balance Wheel Openworked","$249,832",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15407BC.GG.1224BC.01,unknown,unknown,unknown,2020,Good,Men's watch/Unisex,41 mm,unknown
2051,"Audemars Piguet Royal Oak Selfwinding
15400st.oo.1220st.01","$37,334",Audemars Piguet,Royal Oak Selfwinding,15400st.oo.1220st.01,unknown,unknown,unknown,Unknown,Good,Men's watch/Unisex,41 mm,unknown
2052,"Audemars Piguet Royal Oak Selfwinding
15400ST.OO.1220ST.03","$42,106",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.03,unknown,unknown,unknown,Unknown,Good,Men's watch/Unisex,41 mm,unknown
2053,"Audemars Piguet Royal Oak Selfwinding
""50TH ANNIVERSARY""","$72,985",Audemars Piguet,Royal Oak Selfwinding,77451OR.ZZ.1361OR.02,unknown,unknown,unknown,Unknown,New,Women's watch,34 mm,unknown
2054,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$78,599",Audemars Piguet,Royal Oak Chronograph,26715ST.ZZ.1356ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,38 mm,unknown
2055,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$126,319",Audemars Piguet,Royal Oak Jumbo,15202OR.OO.1240OR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,39 mm,unknown
2056,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH “50TH ANNIVERSARY”","$106,670",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.1320OR.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2057,"Audemars Piguet Code 11.59
BY AUDEMARS PIGUET SELFWINDING","$27,229",Audemars Piguet,Code 11.59,15210CR.OO.A008KB.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2058,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
FROSTED GOLD DOUBLE BALANCE WHEEL OPENWORKED","$530,542",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15412BC.YG.1224BC.03,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2059,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH","$144,566",Audemars Piguet,Royal Oak Chronograph,26240BC.GG.1324BC.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2060,"Audemars Piguet Royal Oak Tourbillon
SELFWINDING FLYING TOURBILLON OPENWORKED ""50TH ANNIVERSARY""","$429,486",Audemars Piguet,Royal Oak Tourbillon,26735ST.OO.1320ST.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2061,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
FROSTED GOLD DOUBLE BALANCE WHEEL OPENWORKED","$549,630",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15412BA.YG.1224BA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2062,"Audemars Piguet Royal Oak Selfwinding
15510ST.OO.1320ST.08","$45,756",Audemars Piguet,Royal Oak Selfwinding,15510ST.OO.1320ST.08,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
2063,"Audemars Piguet Royal Oak Offshore Diver
15720CN.OO.A002CA.01","$44,914",Audemars Piguet,Royal Oak Offshore Diver,15720CN.OO.A002CA.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,42 mm,unknown
2064,"Audemars Piguet Royal Oak Jumbo
“JUMBO” EXTRA-THIN","$63,160",Audemars Piguet,Royal Oak Jumbo,15202ST.OO.1240ST.01,unknown,unknown,unknown,Unknown,Good,Men's watch/Unisex,39 mm,unknown
